name,company,position,twitter,web,image
Bente Hagem,ENTSO-E / Statnett,Chair/Executive Vice-President,entso_e,https://www.entsoe.eu,bente_hagem.jpg
Klaus-Dieter Borchardt (tbc),European Commission,"Director, Directorate B",,,
Ben Voorhorst,ENTSO-E,Vice-Chair,,,
Christophe Gence-Creux (tbc),ACER,Head of  Electricity Department,,http://www.acer.europa.eu/en/Pages/default.aspx,christophe.jpg
Peder Østermark Andreasen,ENTSO-E/Energinet.dk,President/CEO,entso_e,https://www.entsoe.eu,peder_andreasen.jpg
Susanne Nies,ENTSO-E,Corporate Affairs Manager,entso_e,https://www.entsoe.eu/Pages/default.aspx,nies.jpg
Konstantin Staschus,ENTSO-E,Secretary-General,entso-e,https://www.entsoe.eu,konni.jpg
"Maroš
Šefčovič (tbc)",European Commission,Vice-President for the Energy Union,,,
Ing. Peter Žiga (tbc),"Ministry of Economy, Slovak Republic",Minister of Economy,,,
Jan Mládek (tbc),"Ministry of Industry and Trade, Czech Republic ",Minister,,,
Jerzy Buzek (tbc),European Parliament,"MEP, Chair, ITRE Committee",,,
Zbyněk Boldiš,CEPS,Member of the Board of Directors,,,
Aleš Tomec (tbc),OTE,Chair of the Board,,,
Juan Jose Alba Rios (tbc),EURELECTRIC,"Chair, Markets Committee",,,
Joachim Vanzetta,ENTSO-E/Amprion,"Chair, SOC",,,
Ing. Miroslav Stejskal,SEPS,General Director,,,
Paul Rübig (tbc),European Parliament,"MEP, ITRE Committee",,,
Siem Bruijns (tbc),TSCNET,Managing Director,,,
Annegret Groebel (tbc),CEER,Vice-President,,,
Catalin Chimirel,Transelectrica,Board Member,,,
Sonya Twohig,ENTSO-E,System Operations Manager,,,
Eryk Klossowski,PSE,President of the Board,,,
Ivo Nesrovnal,Member of Committee of the Regions,Mayor of Bratislava,,,
Pavol Freso,Member of Committee of the Regions ,Bratislava Region Governor,,,
Sebastien Lepy (tbc),ENTSO-E/RTE,"Chair, SDC",,,
Alena Vitásková (tbc),ERÚ/CEER,Chair/Assembly Member,,,
Antonella Battaglini (tbc),RGI,CEO,,,
Matteo del Fante,ENTSO-E/Terna,Vice President/CEO,,,
Kamilla Csomai,MAVIR,CEO,,,
Joao Torres (tbc),EDSO for Smart Grids,Chair,,,
Marie Donnelly (tbc),DG ENER,"Director, Directorate C",,,
